name,n_estimators,max_depth,accuracy,precision,recall,f1score
RandomForestClassifier,100,5,0.9174683870137392,0.9149162861491629,0.892568119385255,0.9036040437445977
RandomForestClassifier,100,10,0.9458155024292931,0.9443480883794586,0.9297646447397728,0.9369996258885149
RandomForestClassifier,100,15,0.9596190353614981,0.9658276125095347,0.9400846388002079,0.9527822717182739
RandomForestClassifier,100,20,0.9614530712056373,0.9692543021032505,0.9409013289776524,0.9548673899939722
RandomForestClassifier,100,25,0.9624183532288684,0.9701857656142496,0.9422377310861979,0.9560075329566855
RandomForestClassifier,100,30,0.9622896489591042,0.9714022847504409,0.9406785952928948,0.9557936028968015
RandomForestClassifier,100,35,0.962997522442807,0.9719561719408475,0.9417922637166828,0.9566365007541479
RandomForestClassifier,110,5,0.9162135203835388,0.9168904919039215,0.8870740218279011,0.9017358490566039
RandomForestClassifier,110,10,0.9455580938897648,0.9425114601337642,0.9311752914099042,0.9368090827606812
RandomForestClassifier,110,15,0.9604556131149651,0.9668192219679634,0.9410498181008241,0.9537604876029948
RandomForestClassifier,110,20,0.9622574728916632,0.9706783034757311,0.9413467963471676,0.9557875692586032
RandomForestClassifier,110,25,0.9615174233405194,0.9694025854815268,0.9409013289776524,0.9549393414211438
RandomForestClassifier,110,30,0.9619678882846938,0.9704418408760243,0.9409013289776524,0.9554433051869723
RandomForestClassifier,110,35,0.9625792335660736,0.9716388164954776,0.94112406266241,0.9561380350744861
RandomForestClassifier,120,5,0.9194954792625245,0.9187476135929744,0.8932363204395278,0.9058123776539678
RandomForestClassifier,120,10,0.9464911998455549,0.9442354003612282,0.9315465142178335,0.9378480397652951
RandomForestClassifier,120,15,0.9592972746870877,0.9641716111364673,0.9410498181008241,0.9524704114221304
RandomForestClassifier,120,20,0.9617104797451655,0.9700635479672307,0.9406785952928948,0.9551451187335093
RandomForestClassifier,120,25,0.9621609446893401,0.970095602294455,0.9417180191550969,0.9556962025316456
RandomForestClassifier,120,30,0.9631262267125712,0.9723265619011116,0.9417180191550969,0.9567775514822358
RandomForestClassifier,120,35,0.9623540010939863,0.9710455764075067,0.9411983072239959,0.9558890061830795
RandomForestClassifier,130,5,0.9166318092602722,0.9168454935622318,0.8881876902516891,0.9022890975600558
RandomForestClassifier,130,10,0.9460729109688214,0.9431792559188276,0.9316950033410053,0.9374019571225817
RandomForestClassifier,130,15,0.9588789858103542,0.9637124381894256,0.9405301061697231,0.9519801608176148
RandomForestClassifier,130,20,0.962096592554458,0.9705229308628742,0.94112406266241,0.9555974368639276
RandomForestClassifier,130,25,0.9623540010939863,0.9701812065142595,0.9420892419630262,0.955928883531716
RandomForestClassifier,130,30,0.9622252968242222,0.9708202496745041,0.94112406266241,0.9557415366055945
RandomForestClassifier,130,35,0.9625148814311915,0.9702644855526678,0.9423862202093697,0.9561221799555573
RandomForestClassifier,140,5,0.9204607612857556,0.9182322963413706,0.8962803474645482,0.9071235347159602
RandomForestClassifier,140,10,0.9461372631037035,0.9432544156332205,0.9317692479025911,0.9374766564577574
RandomForestClassifier,140,15,0.9593938028894109,0.9652412531442945,0.9401588833617938,0.9525349781856476
RandomForestClassifier,140,20,0.9615174233405194,0.9701938548770209,0.9400846388002079,0.9549019607843138
RandomForestClassifier,140,25,0.9623861771614274,0.9711199632296614,0.9411983072239959,0.955925046186329
RandomForestClassifier,140,30,0.9623218250265453,0.9705387205387206,0.941643774593511,0.9558729321324942
RandomForestClassifier,140,35,0.9633192831172174,0.9727739857351024,0.9417180191550969,0.9569941149841557
RandomForestClassifier,150,5,0.9163100485858618,0.9172938104745815,0.8868512881431435,0.9018157109961874
RandomForestClassifier,150,10,0.9467486083850831,0.9446033418636158,0.9317692479025911,0.9381424032891048
RandomForestClassifier,150,15,0.9589755140126773,0.962665047806951,0.9418665082782686,0.9521522122565391
RandomForestClassifier,150,20,0.9619678882846938,0.9697942953276746,0.9415695300319251,0.9554735176674451
RandomForestClassifier,150,25,0.9623540010939863,0.9710455764075067,0.9411983072239959,0.9558890061830795
RandomForestClassifier,150,30,0.9624183532288684,0.9709778696684279,0.9414210409087534,0.9559710494571774
RandomForestClassifier,150,35,0.9624505292963094,0.9716301180800491,0.9408270844160666,0.9559805363811248
RandomForestClassifier,160,5,0.9184658451044113,0.9182924030296076,0.8911574727151236,0.9045214770158251
RandomForestClassifier,160,10,0.9461694391711445,0.9433919711321606,0.9316950033410053,0.9375070038474469
RandomForestClassifier,160,15,0.9590076900801184,0.9643591501028101,0.9401588833617938,0.9521052631578948
RandomForestClassifier,160,20,0.9624827053637505,0.971704623878537,0.9408270844160666,0.9560165975103735
RandomForestClassifier,160,25,0.9631584027800122,0.9719669117647058,0.9421634865246121,0.9568331762488218
RandomForestClassifier,160,30,0.9627722899707197,0.9717241379310345,0.9414952854703393,0.9563709038802369
RandomForestClassifier,160,35,0.9625470574986326,0.9719260566081154,0.9407528398544807,0.9560854146231041
RandomForestClassifier,170,5,0.9160204639788925,0.9185230864102366,0.8846981958571535,0.9012933968686181
RandomForestClassifier,170,10,0.9460729109688214,0.9447838877574112,0.9299131338629445,0.9372895307939835
RandomForestClassifier,170,15,0.9590398661475594,0.963867336071809,0.9407528398544807,0.9521698290437725
RandomForestClassifier,170,20,0.9617748318800476,0.9703561853695902,0.9405301061697231,0.955210375508973
RandomForestClassifier,170,25,0.9622252968242222,0.9701001758813184,0.9418665082782686,0.9557748813380548
RandomForestClassifier,170,30,0.9622896489591042,0.9714745801702324,0.9406043507313089,0.9557902678234628
RandomForestClassifier,170,35,0.9619357122172528,0.9711612210461728,0.9400846388002079,0.9553702795487985
RandomForestClassifier,180,5,0.919109366453232,0.9168252035613728,0.8944984779864875,0.9055242390078918
RandomForestClassifier,180,10,0.9464590237781139,0.9445657904647135,0.9311010468483184,0.9377850893591566
RandomForestClassifier,180,15,0.9593294507545288,0.9646691540394426,0.9406043507313089,0.9524847755807833
RandomForestClassifier,180,20,0.962128768621899,0.9705972434915774,0.94112406266241,0.9556334577255079
RandomForestClassifier,180,25,0.9623540010939863,0.9713344063769449,0.9409013289776524,0.9558756976919597
RandomForestClassifier,180,30,0.9622252968242222,0.9711811144324366,0.9407528398544807,0.9557248453763765
RandomForestClassifier,180,35,0.9624827053637505,0.9709102043940901,0.941643774593511,0.9560530679933664
RandomForestClassifier,190,5,0.919109366453232,0.9198283130221507,0.8910089835919519,0.9051893196560568
RandomForestClassifier,190,10,0.9455580938897648,0.9427110743553117,0.9309525577251466,0.936794919686216
RandomForestClassifier,190,15,0.9593294507545288,0.9645276699398645,0.9407528398544807,0.9524919191159887
RandomForestClassifier,190,20,0.9620322404195759,0.9705904878609175,0.9409013289776524,0.9555153434366283
RandomForestClassifier,190,25,0.9627079378358377,0.9714307598039216,0.941643774593511,0.9563053722902922
RandomForestClassifier,190,30,0.9628044660381608,0.9717263044977397,0.9415695300319251,0.9564102564102565
RandomForestClassifier,190,35,0.9624183532288684,0.970761576731726,0.941643774593511,0.9559810055023743
RandomForestClassifier,200,5,0.9210721065671353,0.9191780821917809,0.8967258148340634,0.9078131459280694
RandomForestClassifier,200,10,0.946523375912996,0.9441727484764126,0.9316950033410053,0.9378923766816143
RandomForestClassifier,200,15,0.9598764439010264,0.9649269628727937,0.941643774593511,0.9531432006913914
RandomForestClassifier,200,20,0.9619035361498117,0.9698615466993039,0.9413467963471676,0.9553914550523699
RandomForestClassifier,200,25,0.9624827053637505,0.971704623878537,0.9408270844160666,0.9560165975103735
RandomForestClassifier,200,30,0.9625470574986326,0.97069849284676,0.9420149974014403,0.9561416729464959
RandomForestClassifier,200,35,0.9633514591846585,0.9727760736196319,0.9417922637166828,0.9570334603342261
